sepalLength,sepalWidth,species
9,2.9,0
11,2.1,0
10,2,0
15,2.1,2
6,2.7,0
18,2.6,2
91,4.8,1
8,2.6,0
7,2.6,0
19,2.3,2
23,3.6,2
16,2,2
10,3.1,0
10,2.1,0
10,3.2,0
10,2.1,0
11,2.6,0
20,5,2
7,2.4,0
5,4.6,0
6,2.5,0
7,4.6,0
17,2.1,2
5,2.2,0
13,3.1,0
10,2.5,0
4,2.2,0
19,4.2,2
6,2.2,0
79,3,1
17,3.4,2
13,2,0
7,2.1,0
10,3.7,0
8,2.2,0
8,2.4,0
6,2.1,0
20,2.5,2
6,2.2,0
24,2.1,2
11,2.1,0
3,3.6,0
4,2,0
7,2.4,0
6,2.7,0
7,3.1,0
10,2.6,0
10,3.4,0
5,2.5,0
5,2.4,0
6,2.8,0
12,3.2,0
7,2.6,0
7,2,0
5,2,0
7,2,0
10,2.8,0
9,2.6,0
7,3.9,0
8,2.3,0
9,2.1,0
10,4.7,0
9,2.2,0
81,2.3,1
10,2.1,0
7,2.6,0
6,2.6,0
20,2.2,2
15,2.7,2
12,3.9,0
6,2.1,0
6,2.3,0
31,4.2,2
6,2.2,0
10,4.7,0
34,2.8,2
6,2.1,0
13,2,0
5,2,0
7,2.3,0
17,2.4,2
11,2.3,0
9,4.2,0
14,2.7,2
0,2.1,0
8,2,0
8,2.3,0
7,2.3,0
6,2.9,0
9,2.7,0
9,2.1,0
13,2.1,0
10,3.2,0
8,3.1,0
7,2.2,0
7,2.5,0
7,2.1,0
13,2.6,0
8,2,0
5,4.3,0
4,2.4,0
20,4.8,2
10,2.5,0
5,2,0
0,2.1,0
7,2.3,0
10,2.4,0
12,2.3,0
108,2.2,1
7,3.3,0
7,2.1,0
8,2.7,0
16,2.1,2
15,4.1,2
9,2,0
7,2.9,0
10,4.9,0
20,2.6,2
15,3.2,2
10,2.1,0
16,2.5,2
5,2.3,0
5,2.2,0
19,2.2,2
6,2.4,0
12,2.6,0
11,3.9,0
18,2.4,2
6,3.7,0
5,2.2,0
10,2.4,0
17,2,2
4,2.1,0
10,3.1,0
5,2.2,0
7,2,0
36,2.2,2
25,2.8,2
0,2.5,0
80,4.5,1
6,2.5,0
17,2.4,2
9,2.1,0
12,2,0
10,2.6,0
20,4.4,2
11,2,0
117,2.1,1
9,2.3,0
16,3.3,2
10,2.8,0
4,3.2,0
10,3.6,0
18,2.2,2
6,2.1,0
10,2.1,0
7,3.8,0
11,2.7,0
13,4.1,0
14,2.3,2
9,2.2,0
6,2.9,0
5,2.1,0
6,2.4,0
13,2.8,0
14,2.2,2
10,2,0
10,2.8,0
19,2.4,2
7,2,0
10,2.2,0
7,2.1,0
10,2.2,0
7,2.3,0
2,2.1,0
7,2.6,0
5,2,0
15,2,2
7,2.9,0
17,4.1,2
8,3.7,0
6,2.6,0
7,2.1,0
8,2.6,0
18,3.1,2
13,2.2,0
20,3.6,2
10,3,0
6,2,0
10,2,0
10,2.7,0
5,2.8,0
117,2.5,1
9,2.3,0
10,2.5,0
9,3,0
6,2.4,0
7,2.3,0
10,2.1,0
2,2.1,0
14,2.2,2
10,7,0
4,2.6,0
10,2.5,0
14,2.2,2
17,2.4,2
6,2.6,0
4,3.1,0
6,3.1,0
16,2.3,2
10,2.5,0
7,2.3,0
11,2,0
12,2.5,0
9,2.3,0
17,2.2,2
29,2.2,2
17,2.3,2
11,2.9,0
11,2.5,0
8,2.6,0
29,2.9,2
9,2,0
9,2.7,0
12,2.1,0
10,2,0
23,2.8,2
9,2.7,0
6,4.5,0
5,2.6,0
5,2.1,0
23,2.1,2
8,2.7,0
100,3,1
23,2,2
5,3.2,0
7,2.7,0
4,2.3,0
9,3.4,0
13,2.1,0
6,3,0
10,2.5,0
9,2.8,0
10,2.1,0
21,4.3,2
6,2.4,0
8,2.3,0
8,2.1,0
18,2.4,2
15,2.7,2
8,2,0
15,2.4,2
7,2.5,0
21,3.7,2
18,2.3,2
14,2.4,2
6,2.3,0
11,2.3,0
10,2.4,0
0,2.3,0
21,2.9,2
5,3.1,0
19,2.7,2
13,2.1,0
0,2.1,0
17,2.1,2
6,2.3,0
7,2.3,0
13,3,0
8,2.6,0
0,2.5,0
8,2.1,0
16,2.3,2
8,2.3,0
0,2.4,0
0,2.1,0
52,2.9,2
5,2.1,0
8,2.3,0
6,2.1,0
6,2.8,0
6,2.4,0
26,2.8,2
5,2.6,0
9,2,0
6,2,0
4,2.1,0
6,3.9,0
6,2.2,0
13,2.3,0
4,3.6,0
10,4.9,0
10,2.2,0
13,2.2,0
10,4.4,0
17,2.1,2
8,2.6,0
7,2.1,0
6,3.6,0
11,2.2,0
5,2.4,0
8,2.2,0
10,2.3,0
19,2.9,2
10,3.5,0
17,2.2,2
7,2.1,0
12,3.7,0
17,2.9,2
5,2.1,0
9,2.1,0
22,2.1,2
10,2.4,0
7,2.2,0
8,2,0
11,2.2,0
12,4.2,0
9,2.2,0
0,2.5,0
17,2.1,2
11,2,0
6,2.7,0
7,2.5,0
4,2.7,0
16,2.6,2
10,4.6,0
15,4.4,2
10,4.9,0
16,2.3,2
18,2.9,2
16,2.4,2
4,2.5,0
8,2.2,0
17,2.3,2
4,3.2,0
6,2.2,0
11,2.5,0
3,2.2,0
13,2.6,0
25,3.2,2
5,2.3,0
10,4.2,0
8,2.2,0
7,3,0
8,4.5,0
4,2,0
6,2,0
18,2.2,2
6,3.1,0
6,2.3,0
6,2.2,0
5,2.3,0
7,3.1,0
5,2.6,0
11,3.2,0
0,2.1,0
6,2,0
4,2.1,0
8,2.2,0
6,2,0
